imagen_path,departamento,fecha_procesamiento,AP,APB SÚMATE,CODIGO MESA,ELECTORES HABILITADOS,FP,LIBRE,LYP ADN,MAS-IPSP,MESA,MORENA,PAPELETAS EN ÁNFORA,PAPELETAS NO UTILIZADAS,PDC,UNIDAD,VOTOS BLANCOS,VOTOS NULOS,VOTOS VÁLIDOS
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_2_104994.jpg,Colegio Nacional Salta N° 5080,,AP 0.14,APB SÚMATE 0800,800,3,FP 0.13,LIBRE 08.00,LYP ADN 0800,MAS-IPSP 0.16,800,MORENA 08.00,800,800,PDC 0.13,UNIDAD 0.20,25,54,143
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Colegio Nacional Salta N° 5080/mesa_9_105064.jpg,Colegio Nacional Salta N° 5080,,AP 006,APB SÚMATE 001,9,3,FP 007,LIBRE 08.00,LYP ADN 080,MAS-IPSP 000,9,MORENA 0.60,47,60,PDC 008,UNIDAD 006,4,4,32
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Salón de la Cultura/mesa_1_105134.jpg,Salón de la Cultura,,AP MOS-IPSP,APB SÚMATE MOS-IPSP,1,105134,FP 001,LIBRE 00,LYP ADN APB SUMATE,MAS-IPSP 00,1,MORENA 10513-4,61,29,PDC 004,UNIDAD 001,2,9,21
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Municipalidad De Profesor Salvador Mazza/mesa_2_105084.jpg,Municipalidad De Profesor Salvador Mazza,,AP 016,APB SÚMATE 08.29,,3,FP A3,LIBRE 0.09,LYP ADN 08.29,MAS-IPSP 004,2,MORENA 08.29,77,64,PDC 006,UNIDAD 006,5,16,56
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Salta/Municipalidad De Profesor Salvador Mazza/mesa_1_105074.jpg,Municipalidad De Profesor Salvador Mazza,,AP 0 26,APB SÚMATE 045,,,FP 008,LIBRE 0 26,LYP ADN 0 26,MAS-IPSP 0.6,1,MORENA 0834,83,34,PDC 026,UNIDAD 0 18,41,29,1330
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Tucumán/Casa del Sr. Tomas Serrano/mesa_2_105414.jpg,Casa del Sr. Tomas Serrano,,AP MOSA: 2,APB SÚMATE MOSA 2,105414,3,FP 000,LIBRE 003,LYP ADN AP,MAS-IPSP 003,,MORENA 100,32,33,PDC 006,UNIDAD 000,0,76,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Tucumán/Casa del Sr. Tomas Serrano/mesa_1_105404.jpg,Casa del Sr. Tomas Serrano,,AP 0.23,APB SÚMATE 006,1,3,FP 006,LIBRE 0.23,LYP ADN 001,MAS-IPSP 0.65,1,MORENA 17 05,13,13,PDC 0.8,UNIDAD 006,13,77,82
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Rio Negro/Universidad Nacional De Rio Negro/mesa_1_105144.jpg,Universidad Nacional De Rio Negro,,AP 0 9,APB SÚMATE LINDA,,7,FP 003,LIBRE 002,LYP ADN AP,MAS-IPSP 003,1,MORENA 0.72,72,72,PDC 006,UNIDAD 003,4,43,27
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Rio Negro/Universidad Nacional De Rio Negro/mesa_3_105164.jpg,Universidad Nacional De Rio Negro,,AP 0 1,APB SÚMATE MESA: 3,900,3,FP 0.24,LIBRE 002,LYP ADN APB SUMATE,MAS-IPSP 000,900,MORENA 0 1,87,233,PDC 0 12,UNIDAD 003,8,44,35
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Rio Negro/Universidad Nacional De Rio Negro/mesa_2_105154.jpg,Universidad Nacional De Rio Negro,,AP AP,APB SÚMATE 002,,3,FP 003,LIBRE 0.70,LYP ADN AP,MAS-IPSP 000,900,MORENA 0.70,99,99,PDC 011,UNIDAD 007,7,39,34
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Rio Negro/Universidad Nacional De Rio Negro/mesa_4_105174.jpg,Universidad Nacional De Rio Negro,,AP 005,APB SÚMATE 001,4,3,FP 0 0 4,LIBRE 005,LYP ADN 001,MAS-IPSP 001,4,MORENA 060,60,60,PDC 007,UNIDAD 001,1,35,24
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_7_101294.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP APB SOMATE,APB SÚMATE 0837,7,3,FP 002,LIBRE 0.14,LYP ADN APB SOMATE,MAS-IPSP 0.05,7,MORENA 7,1320,14,PDC 0.92,UNIDAD 006,4,39,84
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_1_101234.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP 021,APB SÚMATE MOS-IPSP,1,3,FP 004,LIBRE 006,LYP ADN APB SOMATE,MAS-IPSP 002,1,MORENA 08.25,0,0,PDC 019,UNIDAD 01 2,2,35,2
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_8_101304.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP 024,APB SÚMATE 024,,3,FP 004,LIBRE 024,LYP ADN APB SUMATE,MAS-IPSP 003,8,MORENA 08.40,103,217,PDC 015,UNIDAD 007,0,25,78
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_6_101284.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP APB SUMATE,APB SÚMATE MOS-IPSP,101284,3,FP 000,LIBRE 0 1 2,LYP ADN APB SUMATE,MAS-IPSP 0 0 5,6,MORENA 0833,83,20,PDC 0.22,UNIDAD 0.22,644,44,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_5_101274.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP 0 27,APB SÚMATE 0 1 3 4,5,3,FP 006,LIBRE 007,LYP ADN APB SOME,MAS-IPSP 0.11,5,MORENA 0 1 3 4,50,9,PDC 021,UNIDAD 003,2,81,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_4_101264.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP MESA 4,APB SÚMATE MESA 4,4,3,FP 006,LIBRE 0,LYP ADN APB SUMATE,MAS-IPSP 004,4,MORENA 0844,0,0,PDC 0.49,UNIDAD 003,1,52,73
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_2_101244.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP 020,APB SÚMATE 0 2,101244,3,FP 007,LIBRE 020,LYP ADN APB SUMATE,MAS-IPSP 00,,MORENA 08.21,28,2,PDC 0 28,UNIDAD 0.28,3,27,79
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_3_101254.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP APB SOMATE,APB SÚMATE MOSA: 3,3,3,FP 004,LIBRE 0.25,LYP ADN 0.25,MAS-IPSP 003,3,MORENA 1 1 1 9,11119,202,PDC 0.79,UNIDAD 0.8,2,45,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento/mesa_9_101314.jpg,Esc. Primaria Común Nº 17 D.E. 19 Gaspar Lucilo Benavento,,AP 0.22,APB SÚMATE 077,,3,FP 003,LIBRE 073,LYP ADN 08.56,MAS-IPSP 00 2,9,MORENA 7 3,733,194,PDC 0 26,UNIDAD 004,5,44,84
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_4_101734.jpg,Escuela de Educacion Media N° 4  De 19  Homero Manzi,,AP 017,APB SÚMATE 017,4,3,FP 001,LIBRE 0 1,LYP ADN 007,MAS-IPSP 001,4,MORENA SON 319.30,7,3,PDC 026,UNIDAD 009,1,35,7
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_1_101704.jpg,Escuela de Educacion Media N° 4  De 19  Homero Manzi,,AP 016,APB SÚMATE 016,101704,3,FP 003,LIBRE 0 1,LYP ADN APB SUMATE,MAS-IPSP 0 0 2,915,MORENA 016,120,200,PDC 028,UNIDAD 009,1,38,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_6_101754.jpg,Escuela de Educacion Media N° 4  De 19  Homero Manzi,,AP 010,APB SÚMATE 014,10174,3,FP 001,LIBRE 0 1,LYP ADN APB SOMATE,MAS-IPSP 000,6,MORENA 18 5,712,712,PDC 019,UNIDAD 009,5,35,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_3_101724.jpg,Escuela de Educacion Media N° 4  De 19  Homero Manzi,,AP 014,APB SÚMATE 0950,3,3,FP 001,LIBRE 0.49,LYP ADN 001,MAS-IPSP 0 0 4,3,MORENA 0950,24,209,PDC 024,UNIDAD 0 1 1,3,23,85
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_5_101744.jpg,Escuela de Educacion Media N° 4  De 19  Homero Manzi,,AP MOSLIPSP,APB SÚMATE 09.35,5,324,FP 002,LIBRE 019,LYP ADN APB SUMATE,MAS-IPSP 00 2,5,MORENA 19,129,195,PDC 029,UNIDAD 0.9,3,38,88
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_2_101714.jpg,Escuela de Educacion Media N° 4  De 19  Homero Manzi,,AP 014,APB SÚMATE 012,101714,,FP 006,LIBRE 014,LYP ADN 001,MAS-IPSP 000,,MORENA 014,199,199,PDC 025,UNIDAD 005,1,14,76
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires /mesa_2_100774.jpg,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,,AP 0.22,APB SÚMATE 0845,2,3,FP 0845,LIBRE 0.22,LYP ADN 0845,MAS-IPSP 0 8 4,2,MORENA 0.22,45,206,PDC 015,UNIDAD 0.11,321,321,81
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires /mesa_4_100794.jpg,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,,AP 0.71,APB SÚMATE 003,4,3,FP 002,LIBRE 0.26,LYP ADN 00,MAS-IPSP 000,4,MORENA 7 20,7,274,PDC 0 15,UNIDAD 0 16,2,30,74
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires /mesa_5_100804.jpg,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,,AP 00,APB SÚMATE WWW.GOV,800,,FP 80,LIBRE 00,LYP ADN TVNOLOGY,MAS-IPSP WWW.GOV,0,MORENA 500,800,0,PDC WWW.GOV,UNIDAD 00,80,0,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires /mesa_3_100784.jpg,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,,AP 017,APB SÚMATE 007,3,3,FP 003,LIBRE 0.26,LYP ADN AP,MAS-IPSP 001,3,MORENA 17 50,36,36,PDC 017,UNIDAD 077,7,36,77
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires /mesa_1_100764.jpg,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,,AP 0.9,APB SÚMATE 0915,1,3,FP 001,LIBRE 0.23,LYP ADN 0915,MAS-IPSP 009,1,MORENA 0915,98,222,PDC NOMINATIO,UNIDAD PBC,98,98,98
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_9_101404.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 042,APB SÚMATE 0845,9,3,FP 001,LIBRE 004,LYP ADN 002,MAS-IPSP 003,9,MORENA 0845,85,845,PDC 0 1,UNIDAD 002,2,13,35
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_3_101344.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 014,APB SÚMATE 0.24,3,3,FP 006,LIBRE 08.00,LYP ADN 00,MAS-IPSP 002,3,MORENA 080,800,800,PDC 026,UNIDAD 007,45,34,14
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_4_101354.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 0 19,APB SÚMATE 0.9,,3,FP 0.80,LIBRE 0 1 8,LYP ADN 0 1 9,MAS-IPSP 0 1,4,MORENA 0 19,8,209,PDC 0 18,UNIDAD 0.6,5,38,68
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_5_101364.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 0 23,APB SÚMATE 08.00,101364,3,FP 003,LIBRE 0.29,LYP ADN 003,MAS-IPSP 001,5,MORENA 470,480,80,PDC 0.31,UNIDAD 005,8,42,80
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_8_101394.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 021,APB SÚMATE 003,,3,FP 003,LIBRE 0 1 2,LYP ADN 002,MAS-IPSP 004,810,MORENA 021,81,208,PDC 015,UNIDAD 005,2,43,67
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_7_101384.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 016,APB SÚMATE 0935,7,3,FP 0935,LIBRE 0 1,LYP ADN 006,MAS-IPSP 0.03,7,MORENA 0935,25,21,PDC 025,UNIDAD 0.6,1,42,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_1_101324.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 00,APB SÚMATE NOV DAR,770,,FP WWW.GOV,LIBRE 050,LYP ADN TVENTON,MAS-IPSP WWW.GOV,80,MORENA WWW.GOV,0,0,PDC WWW.GOV,UNIDAD 00,,0,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_6_101374.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 0.14,APB SÚMATE 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,6,3,FP 08.00,LIBRE 047,LYP ADN 08.00,MAS-IPSP 003,6,MORENA 0.14,93,800,PDC 009,UNIDAD 004,7,38,54
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi/mesa_2_101334.jpg,Escuela De Jornada Simple Nº 08 D.E. 21 Judith y Demetrio Demarchi,,AP 079,APB SÚMATE 079,800,3,FP 08.00,LIBRE 08.00,LYP ADN 08.00,MAS-IPSP 006,2,MORENA 799,800,800,PDC 020,UNIDAD 003,6,44,71
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_7_103134.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 0.2,APB SÚMATE 0930,7,3,FP 003,LIBRE 09.30,LYP ADN APS COMMITTEE,MAS-IPSP 0.3,7,MORENA 1830,45,1835,PDC 016,UNIDAD 003,4,72,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_2_103174.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 20,APB SÚMATE 007,2,3,FP 001,LIBRE 008,LYP ADN 001,MAS-IPSP 004,2,MORENA 7660,426,496,PDC 022,UNIDAD 003,4,54,68
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_5_103114.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 032,APB SÚMATE 0833,5,3,FP 003,LIBRE 003,LYP ADN 0833,MAS-IPSP 0.03,5,MORENA 17 8,178,178,PDC 0.19,UNIDAD 0.9,61,61,78
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_1_103164.jpg,Escuela EGB Nro. 12 Primera Junta,,AP APB SUMATE,APB SÚMATE 08.31,,3,FP 003,LIBRE 003,LYP ADN APB SUMATE,MAS-IPSP 000,1,MORENA 004,30,30,PDC 023,UNIDAD 005,7,56,36
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_3_103184.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 002,APB SÚMATE MOSA: 3,,,FP 002,LIBRE 006,LYP ADN 001,MAS-IPSP 005,3,MORENA 17 40,202,202,PDC 022,UNIDAD 004,4,42,72
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_8_103144.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 0 2,APB SÚMATE 0920,8,3,FP 0.2,LIBRE 0.2,LYP ADN 0920,MAS-IPSP 0.2,8,MORENA 20 4,416,204,PDC 020,UNIDAD 020,3,50,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_6_103124.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 020,APB SÚMATE 0820,6,3,FP 003,LIBRE 0.20,LYP ADN 0820,MAS-IPSP 005,6,MORENA 0820,793,424,PDC 077,UNIDAD 00 7,7,63,63
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_4_103104.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 078,APB SÚMATE 0.78,4,3,FP 001,LIBRE 005,LYP ADN 0830,MAS-IPSP 003,4,MORENA 0830,68,798,PDC 021,UNIDAD 007,2,60,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela EGB Nro. 12 Primera Junta/mesa_9_103154.jpg,Escuela EGB Nro. 12 Primera Junta,,AP 018,APB SÚMATE 08 27,9,68,FP 003,LIBRE 08 27,LYP ADN 08 27,MAS-IPSP 004,9,MORENA 08 27,83,782,PDC 022,UNIDAD 003,3,50,60
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_7_100504.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP 00,APB SÚMATE MOSA 7,7,3,FP 000,LIBRE 0.12,LYP ADN 00,MAS-IPSP 001,7,MORENA 0.38,38,38,PDC 0.8,UNIDAD 00 6,0,29,25
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_5_100484.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP 012,APB SÚMATE 007,5,3,FP 002,LIBRE 055,LYP ADN 0800,MAS-IPSP 002,5,MORENA 1 4 1,141,179,PDC 012,UNIDAD 030,1,20,120
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_1_100444.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP 012,APB SÚMATE 009,1,3,FP 006,LIBRE OEP,LYP ADN APS COMATE,MAS-IPSP 005,1,MORENA 0.15,25,12,PDC 012,UNIDAD 015,3,20,110
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_2_100454.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP A3,APB SÚMATE 0.95,822,3,FP 0.95,LIBRE MESA,LYP ADN OEP,MAS-IPSP 0.95,822,MORENA 0.95,95,95,PDC 00,UNIDAD MESA 2,1,95,6
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_3_100464.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP 500,APB SÚMATE WWW.ХРАНИVIDU,880,,FP WWW.GOV,LIBRE WWW.GOV,LYP ADN COOKED MEAT,MAS-IPSP WWW.GOV,880,MORENA 710,600,0,PDC 880,UNIDAD 00,,0,
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_4_100474.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP 012,APB SÚMATE MESA: 4,4,,FP 003,LIBRE 08.23,LYP ADN 08.23,MAS-IPSP 002,4,MORENA 08.23,25,12,PDC 015,UNIDAD 025,2,17,102
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón/mesa_6_100494.jpg,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,,AP 0 EP,APB SÚMATE 006,6,3,FP 0049-4,LIBRE OEP,LYP ADN 007,MAS-IPSP 006,6,MORENA 1 9 5,1,6,PDC 012,UNIDAD 0 1 2,2,107,107
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_1_101154.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 022,APB SÚMATE 09.30,930,3,FP 007,LIBRE 0.10,LYP ADN 0.22,MAS-IPSP 005,930,MORENA 09.30,730,794,PDC 034,UNIDAD 005,7,32,90
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_8_101224.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP APB COMATE,APB SÚMATE MOSA: 8,8,3,FP 08.45,LIBRE 08.45,LYP ADN 08.45,MAS-IPSP 00,8,MORENA 0 58,58,58,PDC 0.2,UNIDAD 001,0,58,58
/content/drive/MyDrive/Inteligencia-Artificial_2/Argentina-20250829T015557Z-1-001/Argentina/Buenos Aires/Escuela Nº 13 D.E. 19 “Presbítero Alberti”/mesa_2_101164.jpg,Escuela Nº 13 D.E. 19 “Presbítero Alberti”,,AP 021,APB SÚMATE MOSA 2,,3,FP 005,LIBRE 0.26,LYP ADN APB SOMATE,MAS-IPSP 001,,MORENA 0.21,45,204,PDC 0.24,UNIDAD 004,4,41,71
